year,floor,r_all,r_excl,bias,n_clipped
2027,none(-500),0.5150668671982253,0.675269851954487,-11.860396894954196,0
2027,-25,0.5063641264390465,0.6864841843731112,-10.079263093678543,784
2027,-50,0.5147415597735714,0.6803076386395375,-11.461103592491448,370
2027,-75,0.5150668671982253,0.675269851954487,-11.860396894954196,0
2027,-100,0.5150668671982253,0.675269851954487,-11.860396894954196,0
2027,-150,0.5150668671982253,0.675269851954487,-11.860396894954196,0
2027,-200,0.5150668671982253,0.675269851954487,-11.860396894954196,0
2027,-300,0.5150668671982253,0.675269851954487,-11.860396894954196,0
2027,-400,0.5150668671982253,0.675269851954487,-11.860396894954196,0
2027,-500,0.5150668671982253,0.675269851954487,-11.860396894954196,0
2027,0,0.46894082580754404,0.6750974264306489,-6.754128743288854,1608
2027,5,0.45675739677691224,0.6723290186608615,-5.608333007430242,2017
2027,10,0.4437603308782653,0.6689016827555412,-4.448573069527583,2048
2027,15,0.4300330961695234,0.6649702370501626,-3.266671104699485,2101
2027,20,0.41555326388702984,0.6604967336094001,-2.0563018467086183,2140
2027,25,0.4000509928461378,0.6549187316272438,-0.8152030187907827,2198
2027,30,0.3836480014575712,0.6481644618936547,0.45434074447608463,2261
2027,40,0.3479388060777039,0.6303007047827379,3.1278099351260638,2421
2027,50,0.30792207027900503,0.602278704239494,5.9851155240311,2584
2027,75,0.18619303302212223,0.45131973187518243,15.912316034953857,5139
2027,100,0.09593880729219946,0.30932170639404927,35.4996011591844,7837
2028,none(-500),0.3937779451357189,0.44577453310504006,-13.231981546515193,0
2028,-25,0.39040503476271354,0.4548813137146645,-10.31499055714914,1176
2028,-50,0.39557614710994754,0.4519411472204108,-12.353941615781508,427
2028,-75,0.39393358850333193,0.4460567888172376,-13.211425452860379,166
2028,-100,0.3937779451357189,0.44577453310504006,-13.231981546515193,0
2028,-150,0.3937779451357189,0.44577453310504006,-13.231981546515193,0
2028,-200,0.3937779451357189,0.44577453310504006,-13.231981546515193,0
2028,-300,0.3937779451357189,0.44577453310504006,-13.231981546515193,0
2028,-400,0.3937779451357189,0.44577453310504006,-13.231981546515193,0
2028,-500,0.3937779451357189,0.44577453310504006,-13.231981546515193,0
2028,0,0.36765479206033524,0.4474919949840577,-6.135296890626503,1793
2028,5,0.36121450256911974,0.446304244181124,-4.8814721645991055,2202
2028,10,0.35402922144271237,0.44462017138220794,-3.6141501535953493,2233
2028,15,0.3460783232481926,0.4424418664364403,-2.324571518093391,2286
2028,20,0.3373869418176173,0.4397926879412558,-1.0094660179923534,2321
2028,25,0.3278581728790977,0.4364544847555031,0.32783728395614486,2361
2028,30,0.31745870128267123,0.432301577520216,1.6915573859949196,2437
2028,40,0.29359386070536,0.420694496418215,4.554610229699955,2575
2028,50,0.26517746500092165,0.40179457591863027,7.58114020971902,2731
2028,75,0.16903291396208553,0.30031142387648335,18.65925448235261,5690
2028,100,0.0998951756450489,0.22346844496398846,39.205332804242424,7891
2029,none(-500),0.47486976646243584,0.4459761225229274,-5.499616228990249,0
2029,-25,0.4734227244913222,0.45119003406503394,-2.765431414998917,1185
2029,-50,0.4752825028769103,0.4499959871752215,-4.715290009365473,423
2029,-75,0.4748757806840856,0.44603558717870245,-5.4884380273295905,41
2029,-100,0.47486976646243584,0.4459761225229274,-5.499616228990249,0
2029,-150,0.47486976646243584,0.4459761225229274,-5.499616228990249,0
2029,-200,0.47486976646243584,0.4459761225229274,-5.499616228990249,0
2029,-300,0.47486976646243584,0.4459761225229274,-5.499616228990249,0
2029,-400,0.47486976646243584,0.4459761225229274,-5.499616228990249,0
2029,-500,0.47486976646243584,0.4459761225229274,-5.499616228990249,0
2029,0,0.46567649424951796,0.4415990660896025,1.263223035257459,1780
2029,5,0.46345157347728644,0.43933290446244083,2.510706290047731,2193
2029,10,0.46103386153666753,0.436538329811909,3.7710002522728003,2225
2029,15,0.45843995185257647,0.43323757128124857,5.052602723219141,2275
2029,20,0.455681823359407,0.4294307180058876,6.363131231137571,2316
2029,25,0.4527408263238235,0.42491601551229763,7.699775535235168,2365
2029,30,0.44961463852371436,0.4195441354898166,9.064020274186069,2423
2029,40,0.4427527264645381,0.40543339144476426,11.911537611421405,2555
2029,50,0.4349336945938163,0.38417292466931285,14.902269292891035,2696
2029,75,0.4116505756603049,0.29468959984630955,26.023436752348484,5648
2029,100,0.39641709782082146,0.23327812266302905,45.73608301919593,7491
