markup,r_all,r_excl,bias,mae,neg_hours,neg_pct,min_price,shortage_hours
-60,0.5150668671982253,0.675269851954487,-11.860396894954196,27.563726708877084,1608,18.356164383561644,-66.45654195202654,2
-40,0.5731334291052588,0.6718899330148989,-11.344166096599341,26.994500950445317,1465,16.72374429223744,-65.02370591098705,1
-20,0.511372853000291,0.6706169835824655,-10.208204771198595,27.2713695449631,1475,16.837899543378995,-64.49099025466748,2
-10,0.574468567713804,0.6716700314126299,-10.162773790398132,27.014956325557336,1471,16.792237442922374,-64.41189386088688,1
