ts,brainpool_price,V1 no-import (rerun),V1 with-import (original),"V1 with-import (FIXED, 37.65k - FINAL)","V1 with-import (FIXED, 30k - rejected)",V2 no-import (rerun),V2 with-import (original),V2 with-import (37.65k - superseded),"V2 with-import (FIXED, 30k - FINAL)"
2027-01-01 00:00:00,89.8403091430664,73.58978090467153,73.58978090467153,-0.1,0.0,90.863380989538,90.863380989538,0.0,0.0
2027-01-01 01:00:00,88.27281188964844,71.57331090772719,71.57331090772719,-1.33,-1.33,89.28862827334795,89.28862827334795,0.0,0.0
2027-01-01 02:00:00,87.95220947265625,70.0033878964845,70.0033878964845,-4.08,-4.08,88.11487060923045,88.11487060923045,0.0,0.0
2027-01-01 03:00:00,87.95220947265625,68.14659458708383,68.14659458708383,-4.16,-4.16,86.3662644704708,86.3662644704708,0.0,0.0
2027-01-01 04:00:00,87.95220947265625,69.22270552770821,69.22270552770821,-3.58,-3.58,87.33501936690477,87.33501936690477,0.0,0.0
2027-01-01 05:00:00,87.95220947265625,71.93435627193907,71.93435627193907,-4.37,-4.37,88.89435380684738,88.89435380684738,0.0,0.0
2027-01-01 06:00:00,87.95220947265625,96.05717832063542,96.05717832063542,0.0,64.23568251727627,92.6443082346344,92.6443082346344,0.0,35.8989664802272
2027-01-01 07:00:00,87.95220947265625,3000.0,3000.0,70.1217699552919,78.1952974839972,93.4417206854924,93.4417206854924,0.0,42.491578724309534
2027-01-01 08:00:00,88.19004821777344,144.9585357689623,144.9585357689623,66.00408186661676,73.58978090467153,87.72145635981747,87.72145635981747,0.0,0.0
2027-01-01 09:00:00,88.2442855834961,87.91555895659745,87.91555895659745,0.0,0.0,77.26282553442725,77.26282553442725,0.0,0.0
2027-01-01 10:00:00,88.27281188964844,80.87580041741194,80.87580041741194,0.0,0.0,71.38664155227825,71.38664155227825,0.0,0.0
2027-01-01 11:00:00,88.27281188964844,79.69069713732227,79.69069713732227,0.0,0.0,66.45276024283964,66.45276024283964,0.0,0.0
2027-01-01 12:00:00,88.2442855834961,87.71894304401076,87.71894304401076,0.1,0.1,74.85676179823413,74.85676179823413,0.1,0.1
2027-01-01 13:00:00,88.86158752441406,128.5513494208494,128.5513494208494,32.64000486784104,68.67867085483446,82.90492694651012,82.90492694651012,1.5,1.5
2027-01-01 14:00:00,90.28981018066406,152.16811393432857,152.16811393432857,67.60375340683237,75.40826733586191,115.8855178449802,115.8855178449802,23.5,67.78249432101957
