created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2025-10-06 23:24:02+02:00,275,DE_LU,Planned maintenance,A03,Cancelled,2023-06-19 21:30:00+02:00,ct1Dsos_EQ81hbYjmTcMBQ,450.0,Fossil Brown coal/Lignite,11WD8SCHK1L----O,intra_zonal,Schkopau,Schkopau B,61,MAW,PT1M,2,2023-06-19 21:15:00+02:00
2025-10-06 23:24:03+02:00,175,DE_LU,Planned maintenance,A03,Cancelled,2023-06-19 21:30:00+02:00,OlKEX9KSfVaT1ucbuT_e3A,450.0,Fossil Brown coal/Lignite,11WD8SCHK1L----O,intra_zonal,Schkopau,Schkopau B,1,MAW,PT1M,2,2023-06-19 21:15:00+02:00
2025-10-06 23:24:14+02:00,746,DE_LU,Planned maintenance,A03,,2023-06-21 13:30:00+02:00,NzmXhJfiYUg46UGbaESB4w,846.0,Fossil Gas,11WD2IRSC000179N,intra_zonal,Irsching,Irsching 5,1,MAW,PT1M,1,2023-06-21 11:00:00+02:00
2025-10-06 23:24:14+02:00,745,DE_LU,Planned maintenance,A03,,2023-06-21 19:30:00+02:00,7dEW8Xk6wWpdV5-MjLidyw,846.0,Fossil Gas,11WD2IRSC000179N,intra_zonal,Irsching,Irsching 5,1,MAW,PT1M,1,2023-06-21 19:15:00+02:00
2025-10-06 23:24:30+02:00,650,DE_LU,Planned maintenance,A03,,2023-06-20 01:15:00+02:00,bUbEIWvYUv_fgbE_9k0qnw,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,196,MAW,PT1M,1,2023-06-19 19:00:00+02:00
2025-10-06 23:24:30+02:00,660,DE_LU,Planned maintenance,A03,,2023-06-20 05:30:00+02:00,bUbEIWvYUv_fgbE_9k0qnw,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,571,MAW,PT1M,1,2023-06-20 01:15:00+02:00
2025-10-06 23:24:30+02:00,674,DE_LU,Planned maintenance,A03,,2023-06-19 16:30:00+02:00,bUbEIWvYUv_fgbE_9k0qnw,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,1,MAW,PT1M,1,2023-06-19 15:45:00+02:00
2025-10-06 23:24:30+02:00,665,DE_LU,Planned maintenance,A03,Cancelled,2023-06-22 01:00:00+02:00,YlNY4Ia998R8WYHAUmCKXw,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,3256,MAW,PT1M,2,2023-06-21 22:00:00+02:00
2025-10-06 23:24:30+02:00,627,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 22:00:00+02:00,YlNY4Ia998R8WYHAUmCKXw,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,2896,MAW,PT1M,2,2023-06-21 16:00:00+02:00
2025-10-06 23:24:30+02:00,646,DE_LU,Planned maintenance,A03,Cancelled,2023-06-20 14:00:00+02:00,YlNY4Ia998R8WYHAUmCKXw,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,316,MAW,PT1M,2,2023-06-19 21:00:00+02:00
2025-10-06 23:24:30+02:00,639,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 16:00:00+02:00,YlNY4Ia998R8WYHAUmCKXw,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,2296,MAW,PT1M,2,2023-06-21 06:00:00+02:00
2025-10-06 23:24:30+02:00,645,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 06:00:00+02:00,YlNY4Ia998R8WYHAUmCKXw,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,1336,MAW,PT1M,2,2023-06-20 14:00:00+02:00
2025-10-06 23:24:30+02:00,674,DE_LU,Planned maintenance,A03,Cancelled,2023-06-19 16:30:00+02:00,YlNY4Ia998R8WYHAUmCKXw,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,1,MAW,PT1M,2,2023-06-19 15:45:00+02:00
2025-10-06 23:24:30+02:00,672,DE_LU,Planned maintenance,A03,Cancelled,2023-06-19 21:00:00+02:00,YlNY4Ia998R8WYHAUmCKXw,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,46,MAW,PT1M,2,2023-06-19 16:30:00+02:00
2025-10-06 23:24:30+02:00,671,DE_LU,Planned maintenance,A03,,2023-06-19 19:00:00+02:00,bUbEIWvYUv_fgbE_9k0qnw,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,46,MAW,PT1M,1,2023-06-19 16:30:00+02:00
2025-10-06 23:24:42+02:00,368,DE_LU,Planned maintenance,A03,,2023-06-20 10:00:00+02:00,sZXDYnHrhm6frbEZfitFLA,638.0,Fossil Brown coal/Lignite,11WD7NIED-B-KW-5,intra_zonal,Niederaußem,Niederaußem H,1,MAW,PT1M,1,2023-06-20 07:20:00+02:00
2025-10-06 23:24:42+02:00,362,DE_LU,Planned maintenance,A03,,2023-06-20 10:00:00+02:00,cceKn9gDi0fKA_LKW6yYeA,632.0,Fossil Brown coal/Lignite,11WD7NIED-B-KW-5,intra_zonal,Niederaußem,Niederaußem G,1,MAW,PT1M,1,2023-06-20 07:17:00+02:00
2025-10-06 23:25:00+02:00,0,DE_LU,Planned maintenance,A03,,2023-06-20 07:00:00+02:00,3bb1yTGrme0hNcthvG2X4A,746.0,Fossil Hard coal,11WD7KWHU----KW9,intra_zonal,KW Lünen,KW Lünen Block 1,1,MAW,PT1M,2,2023-06-20 00:30:00+02:00
2025-10-06 23:25:49+02:00,245,DE_LU,Planned maintenance,A03,Cancelled,2023-06-26 00:00:00+02:00,j_-r0q70-ZtVzN-H0MW2mg,500.0,Fossil Brown coal/Lignite,11WD8JAEN1L----Z,intra_zonal,KW Jänschwalde,KW Jänschwalde Block C,1,MAW,PT1M,2,2023-06-24 00:00:00+02:00
2025-10-06 23:26:21+02:00,639,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 16:00:00+02:00,IrsJZEm_laQltkO5OsIEcA,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,1381,MAW,PT1M,3,2023-06-21 06:00:00+02:00
2025-10-06 23:26:21+02:00,650,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 06:00:00+02:00,IrsJZEm_laQltkO5OsIEcA,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,1,MAW,PT1M,3,2023-06-20 07:00:00+02:00
2025-10-06 23:26:21+02:00,627,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 22:00:00+02:00,IrsJZEm_laQltkO5OsIEcA,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,1981,MAW,PT1M,3,2023-06-21 16:00:00+02:00
