id,name,year,n_hours,mean_price,brainpool_mean,bias_all,mae_all,rmse_all,corr_all,shortage_hours,shortage_pct,negative_pct,bias_excl,mae_excl,corr_excl
01_V1_NoImport,Phase 2: V1 - No Import,2027,8760,519.0178738024094,68.03931209311638,450.9785617092931,494.9034580466904,1162.4440168827148,0.22867827193997425,1391,15.878995433789955,1.2328767123287672,-14.106412465419792,38.109911583379365,0.3842760927665973
02_V1_WithImport_Original,Phase 5: V1 - Original (Flawed) Import,2027,8760,400.03919992800996,68.03931209311638,331.9998878348937,377.08693042900893,1000.3249817859199,0.2361799371654361,1032,11.78082191780822,1.678082191780822,-12.417968180667527,38.69001488409048,0.378853722993586
03_V1_WithImport_Fixed,Phase 8: V1 - Fixed/Calibrated Import (Final V1),2027,8760,107.49586234002949,68.03931209311638,39.4565502469131,94.7303083963172,400.77942863317236,0.1600497551079995,164,1.872146118721461,14.954337899543379,-15.213069198878802,41.115237151607474,0.4171722104223008
04_V2_NoImport,"Phase 4: V2 - Component-Split Demand, No Import",2027,8760,285.57667953524003,68.03931209311638,217.53736744212364,247.90616769873836,797.6953387497449,0.32696805393469186,659,7.522831050228311,10.091324200913242,-0.38590154090857726,32.453339324163046,0.39205500145114025
05_V2_WithImport_Original,Phase 5: V2 - Original (Flawed) Import,2027,8760,219.80796933351493,68.03931209311638,151.76865724039857,185.07362285459612,671.3732037085668,0.31096295618033154,469,5.353881278538813,14.600456621004565,-3.287985415293439,31.900954251860163,0.5174200834981679
06_V2_WithImport_Fixed,"Phase 8: V2 - Fixed/Calibrated Import (30,000 MW)",2027,8760,57.34200010739059,68.03931209311638,-10.697311985725793,35.94724682796485,71.43257300141106,0.4210517197482734,3,0.03424657534246575,18.995433789954337,-11.688667146600734,34.97187130354543,0.5640773193193311
07_Weather2009_WithImport,Phase 9: Real 2009 Weather Year + Import,2027,8760,67.52972593409018,68.03931209311638,-0.5095861590261995,38.140062638593825,123.44090456639361,0.33038566332604846,14,0.15981735159817353,14.920091324200913,-5.101056617611484,33.610459900471234,0.6055817253368937
08_Weekday_Fix,Phase 11: Weekday/Weekend Calendar Fix,2027,8760,58.20239753154554,68.03931209311638,-9.836914561570843,33.809128226734224,102.79592203739533,0.3417787274843328,9,0.10273972602739725,19.988584474885844,-12.833786982858792,30.85714374797795,0.6409306742713939
09_HeatPump2009,Phase 12: Real 2009 Heat-Pump Temperature (Null Result),2027,8760,59.424794712325784,68.03931209311638,-8.61451738079059,35.116583991052984,120.24086345342107,0.3020929155180935,13,0.14840182648401826,20.091324200913242,-12.950421854058165,30.845673723551272,0.6445341541276761
10_ImportBlended,Phase 15: 11-Country Blended Import Price,2027,8760,59.447059626923185,68.03931209311638,-8.592252466193198,34.079640210240456,119.74610164222396,0.29912378750355884,13,0.14840182648401826,19.71461187214612,-12.92812384881372,29.807188812162476,0.651731623889642
11_Demand2016Base,Phase 17: Demand Rebuilt on Real 2016 Weather-Matched Year,2027,8760,56.17306308624941,68.03931209311638,-11.866249006866978,31.37428237602137,74.59572559582885,0.43877411995621335,4,0.045662100456621,19.703196347031962,-13.18632295319576,30.07396198445865,0.6453048889489836
12_FlexElectrolysis,Phase 20: Price-Responsive Electrolysis,2027,8760,56.095610179951,68.03931209311638,-11.943701913165377,29.57557473415283,51.41048795833752,0.553187985180548,1,0.01141552511415525,18.732876712328768,-12.274027191610458,29.249989640277597,0.6401379103090615
13_FlexEMobility,Phase 21: + Price-Responsive E-Mobility,2027,8760,55.61838394410386,68.03931209311638,-12.420928149012513,28.18946142240869,39.914113335818946,0.6471590839426391,0,0.0,18.515981735159816,-12.420928149012513,28.18946142240869,0.6471590839426391
14_Feb29DropFix,Phase 28: Feb-29-Drop Weekday Bug Fixed (Best Pre-Coupling Result),2027,8760,56.17891519816217,68.03931209311638,-11.860396894954196,27.563726708877084,58.241530197508396,0.5150668671982253,2,0.0228310502283105,18.356164383561644,-12.52236386203807,26.910762738734025,0.675269851954487
15_CyclingCostTest,Phase 30: Real Start-Up/Cycling Cost (Confirmed No Effect),2027,8760,56.17891519816217,68.03931209311638,-11.860396894954196,27.563726708877084,58.241530197508396,0.5150668671982253,2,0.0228310502283105,18.356164383561644,-12.52236386203807,26.910762738734025,0.675269851954487
16_LigniteMarkup_m60_baseline,Phase 31: Lignite Markup -60 (Baseline),2027,8760,57.831107321917784,68.03931209311638,-10.208204771198595,27.2713695449631,58.00994946483586,0.511372853000291,2,0.0228310502283105,16.837899543378995,-10.869794439327514,26.618338811366304,0.6706169835824655
17_MarketCoupling_Placeholder,Phase 34: First Market Coupling (Placeholder Transmission),2027,8760,37.65024472049458,68.03931209311638,-30.389067372621795,33.38077138274592,52.3541631518792,0.6113138463212131,1,0.01141552511415525,19.783105022831048,-30.718781511166856,33.05833773726575,0.7394232887645509
18_MarketCoupling_RealFlow,"Phase 36: Market Coupling, Real-Flow Transmission",2027,8760,48.01001453754557,68.03931209311638,-20.029297555570803,40.48100601392244,163.03529446117386,0.2633303810940501,26,0.2968036529680365,20.365296803652967,-28.689524119621574,32.00091087794664,0.7288133867728228
19_MarketCoupling_ROEFlex,Phase 37: + Real ROE Storage/Subsidy (BEST RESULT OVERALL),2027,8760,67.44687514016137,68.03931209311638,-0.5924369529550225,18.98532076679508,85.67870518542303,0.3002824109064517,7,0.07990867579908677,7.671232876712329,-2.903724276055995,16.689690281811124,0.716788190466655
20_MarketCoupling_FranceZone,Phase 42: France Disaggregated Alone (Real Step Backward),2027,8760,132.3387156078795,68.03931209311638,64.29940351476311,74.2771225482871,398.1864554834129,0.28802955348416,167,1.906392694063927,5.513698630136987,9.653627767587414,19.825258017054423,0.7156480814984025
