Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jan 1, 2017 12:00 AM;Jan 1, 2017 1:00 AM;-;42.00;20.96;20.96;58.82;42.00;28.40;-;24.03;24.03;57.04;18.50;20.96;53.00;53.00;57.25
Jan 1, 2017 1:00 AM;Jan 1, 2017 2:00 AM;-;49.94;20.90;20.90;58.23;49.94;28.17;-;24.03;24.03;51.94;13.00;20.90;52.00;52.00;50.21
Jan 1, 2017 2:00 AM;Jan 1, 2017 3:00 AM;-;51.95;18.13;18.13;51.95;51.95;28.03;-;24.02;24.02;49.07;16.00;18.13;51.00;51.00;44.04
Jan 1, 2017 3:00 AM;Jan 1, 2017 4:00 AM;-;40.99;16.03;16.03;47.27;40.99;28.00;-;23.04;23.19;45.01;16.40;16.03;47.27;47.27;32.81
Jan 1, 2017 4:00 AM;Jan 1, 2017 5:00 AM;-;39.00;16.43;16.43;45.49;39.00;28.02;-;18.87;24.10;42.40;16.00;16.43;45.49;45.49;28.41
Jan 1, 2017 5:00 AM;Jan 1, 2017 6:00 AM;-;35.89;13.75;13.75;44.50;35.89;28.14;-;18.22;25.01;42.43;16.67;13.75;45.69;17.67;24.02
Jan 1, 2017 6:00 AM;Jan 1, 2017 7:00 AM;-;34.99;11.10;11.10;44.50;34.99;28.31;-;16.15;25.62;43.04;15.00;11.10;48.07;11.10;15.60
Jan 1, 2017 7:00 AM;Jan 1, 2017 8:00 AM;-;29.02;15.47;15.47;44.72;29.02;28.09;-;16.16;25.87;41.08;14.40;15.47;45.67;15.47;14.52
Jan 1, 2017 8:00 AM;Jan 1, 2017 9:00 AM;-;28.64;16.88;16.88;44.22;28.64;27.73;-;16.17;26.18;44.07;16.08;16.88;45.48;16.88;16.70
Jan 1, 2017 9:00 AM;Jan 1, 2017 10:00 AM;-;34.94;21.81;21.81;42.06;34.94;28.28;-;18.00;25.74;43.52;16.47;21.81;42.06;35.10;21.19
Jan 1, 2017 10:00 AM;Jan 1, 2017 11:00 AM;-;39.94;26.24;26.24;45.70;39.94;28.36;-;20.73;26.89;44.96;14.30;26.24;46.86;35.10;32.81
Jan 1, 2017 11:00 AM;Jan 1, 2017 12:00 PM;-;42.44;27.48;27.48;47.91;42.44;28.52;-;25.76;27.48;44.22;18.50;26.42;48.02;48.02;47.23
Jan 1, 2017 12:00 PM;Jan 1, 2017 1:00 PM;-;49.57;28.04;28.04;49.57;49.57;28.51;-;25.80;28.04;46.09;20.93;27.66;49.57;49.57;47.95
Jan 1, 2017 1:00 PM;Jan 1, 2017 2:00 PM;-;48.69;28.70;28.70;48.69;48.69;28.74;-;25.84;28.70;44.09;20.50;28.70;48.69;48.69;45.32
Jan 1, 2017 2:00 PM;Jan 1, 2017 3:00 PM;-;37.44;29.66;29.66;46.91;37.44;29.66;-;25.85;29.66;41.33;21.30;29.66;46.91;46.91;41.34
Jan 1, 2017 3:00 PM;Jan 1, 2017 4:00 PM;-;37.30;30.38;30.38;46.51;37.30;30.38;-;24.07;30.38;41.64;26.57;35.33;49.43;49.43;44.17
Jan 1, 2017 4:00 PM;Jan 1, 2017 5:00 PM;-;44.12;30.80;30.80;46.52;44.12;30.76;-;29.92;30.80;47.65;35.42;44.12;50.45;50.45;52.98
Jan 1, 2017 5:00 PM;Jan 1, 2017 6:00 PM;-;51.59;30.93;30.93;51.59;51.59;30.93;-;30.26;30.93;53.94;41.30;51.59;53.30;53.30;59.68
Jan 1, 2017 6:00 PM;Jan 1, 2017 7:00 PM;-;59.07;30.78;30.78;59.07;59.07;30.78;-;30.75;30.78;58.52;42.83;53.95;59.07;59.07;59.68
Jan 1, 2017 7:00 PM;Jan 1, 2017 8:00 PM;-;55.00;30.51;30.51;62.10;55.00;30.51;-;30.33;30.51;59.01;41.75;50.97;61.71;61.71;57.97
Jan 1, 2017 8:00 PM;Jan 1, 2017 9:00 PM;-;52.00;30.19;30.19;56.26;52.00;30.19;-;26.70;30.19;55.60;40.00;44.93;56.26;56.26;57.96
Jan 1, 2017 9:00 PM;Jan 1, 2017 10:00 PM;-;52.00;29.94;29.94;55.00;52.00;29.94;-;29.94;29.94;53.60;34.60;38.83;55.00;55.00;51.97
Jan 1, 2017 10:00 PM;Jan 1, 2017 11:00 PM;-;52.44;29.65;29.65;56.02;52.44;29.65;-;29.65;29.65;54.01;31.11;42.17;54.00;54.00;43.51
