Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jan 1, 2016 12:00 AM;Jan 1, 2016 1:00 AM;-;23.86;16.39;16.39;23.86;23.86;16.39;-;-;16.39;41.09;16.50;23.86;49.62;49.62;32.90
Jan 1, 2016 1:00 AM;Jan 1, 2016 2:00 AM;-;22.39;16.04;16.04;22.39;22.39;16.04;-;-;16.04;40.16;15.50;22.39;43.50;43.50;33.34
Jan 1, 2016 2:00 AM;Jan 1, 2016 3:00 AM;-;20.59;15.74;15.74;20.59;20.59;15.74;-;-;15.74;36.03;14.00;20.59;38.63;38.63;30.95
Jan 1, 2016 3:00 AM;Jan 1, 2016 4:00 AM;-;16.81;15.57;15.57;16.81;16.81;15.57;-;-;15.57;33.59;10.01;16.81;36.80;36.80;26.28
Jan 1, 2016 4:00 AM;Jan 1, 2016 5:00 AM;-;17.41;15.47;15.47;17.41;17.41;15.47;-;-;15.47;32.92;8.97;17.41;34.50;34.50;24.74
Jan 1, 2016 5:00 AM;Jan 1, 2016 6:00 AM;-;17.02;15.75;15.75;17.02;17.02;15.75;-;-;15.75;32.80;12.23;17.02;32.10;32.10;27.28
Jan 1, 2016 6:00 AM;Jan 1, 2016 7:00 AM;-;15.86;15.36;15.36;15.86;15.86;15.36;-;-;15.36;32.93;12.10;15.86;36.00;28.70;24.73
Jan 1, 2016 7:00 AM;Jan 1, 2016 8:00 AM;-;18.16;15.37;15.37;18.16;18.16;15.37;-;-;15.37;25.43;14.00;18.16;37.54;30.98;20.98
Jan 1, 2016 8:00 AM;Jan 1, 2016 9:00 AM;-;17.73;15.19;15.19;17.73;17.73;15.19;-;-;15.19;30.01;5.00;17.73;37.54;29.98;21.41
Jan 1, 2016 9:00 AM;Jan 1, 2016 10:00 AM;-;19.77;15.39;15.39;19.77;19.77;15.39;-;-;15.39;32.34;10.01;19.77;35.95;32.66;24.13
Jan 1, 2016 10:00 AM;Jan 1, 2016 11:00 AM;-;23.75;15.78;15.78;23.75;23.75;15.78;-;-;15.78;34.07;14.50;23.75;37.63;35.10;26.21
Jan 1, 2016 11:00 AM;Jan 1, 2016 12:00 PM;-;26.03;16.15;16.15;26.03;26.03;16.15;-;-;16.15;34.56;5.00;26.03;36.80;35.10;26.05
Jan 1, 2016 12:00 PM;Jan 1, 2016 1:00 PM;-;27.06;16.50;16.50;27.06;27.06;16.50;-;-;16.50;35.49;6.00;27.06;37.54;35.10;28.49
Jan 1, 2016 1:00 PM;Jan 1, 2016 2:00 PM;-;26.59;16.72;16.72;26.59;26.59;16.72;-;-;16.72;33.29;11.05;26.59;34.60;34.60;30.26
Jan 1, 2016 2:00 PM;Jan 1, 2016 3:00 PM;-;25.00;17.17;17.17;25.00;25.00;17.17;-;32.72;17.17;35.66;21.00;25.00;35.95;35.95;33.04
Jan 1, 2016 3:00 PM;Jan 1, 2016 4:00 PM;-;20.06;18.00;18.00;20.06;27.04;18.00;-;32.00;18.00;39.83;25.00;24.43;41.18;41.18;43.92
Jan 1, 2016 4:00 PM;Jan 1, 2016 5:00 PM;-;19.43;18.53;18.53;19.43;34.46;18.53;-;32.57;18.53;41.07;31.20;28.87;46.65;46.65;58.52
Jan 1, 2016 5:00 PM;Jan 1, 2016 6:00 PM;-;24.57;19.11;19.11;24.57;45.14;19.11;-;33.97;19.11;52.28;34.02;37.44;57.96;57.96;59.84
Jan 1, 2016 6:00 PM;Jan 1, 2016 7:00 PM;-;33.11;18.68;18.68;33.11;40.00;18.68;-;34.49;18.68;51.92;35.00;37.41;61.31;61.31;59.18
Jan 1, 2016 7:00 PM;Jan 1, 2016 8:00 PM;-;35.34;17.93;17.93;35.34;35.34;17.93;-;34.83;17.93;49.44;34.50;35.34;60.00;60.00;56.09
Jan 1, 2016 8:00 PM;Jan 1, 2016 9:00 PM;-;33.07;17.69;17.69;33.07;33.07;17.69;-;33.81;17.69;48.20;34.03;33.07;57.00;57.00;53.00
Jan 1, 2016 9:00 PM;Jan 1, 2016 10:00 PM;-;29.52;17.33;17.33;29.52;29.52;17.33;-;33.43;17.33;44.93;30.00;29.52;55.00;55.00;52.02
Jan 1, 2016 10:00 PM;Jan 1, 2016 11:00 PM;-;30.10;16.75;16.75;30.10;30.10;16.75;-;27.08;16.75;43.77;28.13;30.10;46.76;46.76;42.97
Jan 1, 2016 11:00 PM;Jan 2, 2016 12:00 AM;-;24.57;16.25;16.25;24.57;24.57;16.25;-;25.20;16.25;40.84;21.80;24.57;43.21;43.21;38.95
Jan 2, 2016 12:00 AM;Jan 2, 2016 1:00 AM;-;22.20;0.67;16.47;22.20;22.20;16.47;-;-;16.47;39.73;0.01;22.20;39.52;39.52;26.30
Jan 2, 2016 1:00 AM;Jan 2, 2016 2:00 AM;-;16.57;9.90;15.89;16.57;16.57;15.89;-;-;15.89;36.87;1.00;16.57;36.29;36.29;24.93
Jan 2, 2016 2:00 AM;Jan 2, 2016 3:00 AM;-;15.35;15.03;15.03;15.35;15.35;15.03;-;-;15.03;33.53;0.01;15.35;35.89;35.89;16.58
Jan 2, 2016 3:00 AM;Jan 2, 2016 4:00 AM;-;12.77;12.77;13.19;12.77;12.77;13.19;-;19.21;13.19;31.40;0.01;12.77;35.22;35.22;11.05
Jan 2, 2016 4:00 AM;Jan 2, 2016 5:00 AM;-;11.27;11.27;12.69;11.27;11.27;12.69;-;19.42;12.69;24.94;2.01;11.27;35.15;35.15;12.95
Jan 2, 2016 5:00 AM;Jan 2, 2016 6:00 AM;-;11.91;11.91;12.94;11.91;11.91;12.94;-;19.21;12.94;29.04;1.00;11.91;35.89;35.89;19.04
Jan 2, 2016 6:00 AM;Jan 2, 2016 7:00 AM;-;12.62;12.62;13.59;12.62;12.62;13.59;-;20.29;13.59;32.51;0.01;12.62;38.72;38.72;22.54
Jan 2, 2016 7:00 AM;Jan 2, 2016 8:00 AM;-;14.32;13.83;14.25;14.17;15.27;14.25;-;28.79;14.25;37.75;1.00;13.83;45.88;45.88;22.92
Jan 2, 2016 8:00 AM;Jan 2, 2016 9:00 AM;-;18.50;16.12;15.70;17.73;22.34;15.70;-;30.67;15.70;40.16;5.11;16.12;54.51;54.51;27.38
Jan 2, 2016 9:00 AM;Jan 2, 2016 10:00 AM;-;21.30;15.72;15.72;20.29;27.44;15.72;-;34.19;15.72;41.56;22.00;18.12;55.00;55.00;32.93
Jan 2, 2016 10:00 AM;Jan 2, 2016 11:00 AM;-;25.47;15.97;15.97;24.30;37.00;15.97;-;34.20;15.97;41.58;41.29;19.59;54.61;54.61;41.29
Jan 2, 2016 11:00 AM;Jan 2, 2016 12:00 PM;-;26.12;15.98;16.14;25.05;38.00;15.98;-;33.97;16.14;41.66;51.08;21.07;48.48;48.48;51.08
Jan 2, 2016 12:00 PM;Jan 2, 2016 1:00 PM;-;30.56;15.87;15.87;29.31;46.68;15.87;-;33.72;15.87;41.57;51.09;22.54;45.01;45.01;51.09
Jan 2, 2016 1:00 PM;Jan 2, 2016 2:00 PM;-;27.40;15.98;15.98;26.31;42.44;15.98;-;34.45;15.98;41.52;61.93;19.79;41.64;41.64;61.93
Jan 2, 2016 2:00 PM;Jan 2, 2016 3:00 PM;-;23.40;15.99;16.12;22.63;34.94;15.99;-;33.65;16.12;41.53;50.00;16.90;43.72;43.72;50.00
Jan 2, 2016 3:00 PM;Jan 2, 2016 4:00 PM;-;19.86;15.99;16.57;19.61;29.00;15.99;-;33.15;16.57;41.58;53.04;16.97;48.95;48.95;53.04
Jan 2, 2016 4:00 PM;Jan 2, 2016 5:00 PM;-;22.50;16.22;17.29;20.65;32.00;16.22;-;35.97;17.29;49.43;100.00;19.25;52.99;52.99;100.00
Jan 2, 2016 5:00 PM;Jan 2, 2016 6:00 PM;-;34.80;16.51;17.52;34.21;45.00;16.51;-;33.83;17.52;55.16;64.83;28.01;60.99;60.99;64.83
Jan 2, 2016 6:00 PM;Jan 2, 2016 7:00 PM;-;44.65;16.37;17.37;42.23;44.65;16.37;-;33.93;17.37;55.90;58.02;28.36;59.95;59.95;58.02
Jan 2, 2016 7:00 PM;Jan 2, 2016 8:00 PM;-;39.00;16.08;16.95;37.36;39.00;16.08;-;33.83;16.95;49.82;32.29;26.56;55.00;55.00;53.04
Jan 2, 2016 8:00 PM;Jan 2, 2016 9:00 PM;-;35.00;16.15;16.56;32.84;35.00;16.15;-;34.31;16.56;41.56;35.08;17.38;50.24;50.24;51.08
Jan 2, 2016 9:00 PM;Jan 2, 2016 10:00 PM;-;27.54;15.83;15.83;26.15;27.54;15.83;-;30.08;15.83;39.76;22.00;15.83;43.21;43.21;38.99
Jan 2, 2016 10:00 PM;Jan 2, 2016 11:00 PM;-;32.18;15.82;15.82;30.62;32.18;15.82;-;29.20;15.82;39.34;22.00;16.97;40.23;40.23;30.94
Jan 2, 2016 11:00 PM;Jan 3, 2016 12:00 AM;-;37.41;15.31;15.31;36.19;30.12;15.31;-;27.12;15.31;39.08;16.00;15.31;38.65;38.65;17.90
Jan 3, 2016 12:00 AM;Jan 3, 2016 1:00 AM;-;21.39;6.99;15.99;19.65;21.39;15.99;-;25.32;15.99;31.09;0.01;6.99;36.48;31.20;26.30
Jan 3, 2016 1:00 AM;Jan 3, 2016 2:00 AM;-;18.91;-0.01;15.87;18.91;18.91;15.87;-;19.41;15.87;33.47;2.50;-0.01;29.03;4.89;30.03
Jan 3, 2016 2:00 AM;Jan 3, 2016 3:00 AM;-;19.07;0.23;15.76;14.64;19.07;15.76;-;18.64;15.76;27.50;1.00;0.23;26.50;2.18;24.75
Jan 3, 2016 3:00 AM;Jan 3, 2016 4:00 AM;-;12.40;4.51;15.59;10.12;16.10;15.59;-;19.41;15.59;24.92;1.00;4.51;22.32;1.00;17.68
